43c5dde9-b9ef-4724-b25d-1216aa15695b; ir ao mercado; comprar pão, carne, arroz e feijao; 2025-01-29; 1; TODO; mercado
a6da550e-6b18-49d2-85aa-fd4bbbf0c335; limpar a casa; limpar os quartos, banheiros e a área da casa.; 2025-02-01; 3; TODO; casa
d85edbb1-f9a6-4a16-9af4-67df92d46fac; estudar; java, typescript, postgresql e groovy; 2025-01-29; 2; TODO; estudo
5dd2e0f2-7d9c-48b4-978c-d15239399d2e; aprender um novo curso; aprender inglês; 2025-01-30; 3; TODO; curso
9f1a7e43-3c7b-4b79-b8b4-f6c9c1a2d8c1; Ler um livro técnico; Aprender sobre arquitetura de software; 2025-02-10; 2; TODO; estudo
d2b3f0e6-8c9d-42e6-9a33-f6fcb7c3e8d4; Praticar exercícios físicos; Fazer academia ou corrida; 2025-02-15; 3; TODO; saúde
7cda06b8-5f3f-48b1-b86c-6a1f36a3df9f; Assistir curso de Spring Boot; Melhorar habilidades em backend; 2025-02-20; 3; TODO; curso
ae90d2a3-56b1-4c1a-b7a7-8c74f5eb3d9a; Criar um projeto pessoal; Desenvolver um sistema web; 2025-02-25; 4; TODO; programação
43ea12d4-7953-4f86-bcf5-bfb7f1e1f46c; Organizar documentos; Separar arquivos importantes; 2025-03-01; 2; TODO; pessoal
18f5bd3a-7c98-4b49-9ff5-8f8c59b5f9a2; Planejar viagens do ano; Escolher destinos e datas; 2025-03-05; 2; TODO; lazer
5dd2e0f2-7d9c-48b4-978c-d15239399d2e; aprender um novo curso; aprender inglês; 2025-01-30; 3; TODO; curso
8a1b2c3d-4e5f-6g7h-8i9j-0k1l2m3n4o5p; estudar matemática; revisar álgebra e cálculo; 2024-11-15; 2; TODO; estudo
a1b2c3d4-e5f6-7g8h-9i0j-k1l2m3n4o5p; ler um livro; ler 'Clean Code' de Robert C. Martin; 2024-12-01; 1; TODO; leitura
b2c3d4e5-f6g7-8h9i-0j1k-l2m3n4o5p6q; fazer exercícios; correr 5 km; 2024-10-20; 2; TODO; saúde
c3d4e5f6-g7h8-9i0j-1k2l-m3n4o5p6q7r; praticar programação; resolver problemas no LeetCode; 2024-11-30; 3; TODO; programação
d4e5f6g7-h8i9-0j1k-2l3m-n4o5p6q7r8s; assistir a uma palestra; assistir palestra sobre IA; 2024-12-10; 1; TODO; aprendizado
e5f6g7h8-i9j0-1k2l-3m4n-o5p6q7r8s9t; organizar a mesa; limpar e organizar a mesa de trabalho; 2024-10-25; 2; TODO; organização
f6g7h8i9-j0k1-2l3m-4n5o-p6q7r8s9t0u; planejar a semana; criar um plano de tarefas para a semana; 2024-11-01; 1; TODO; planejamento
g7h8i9j0-k1l2-3m4n-5o6p-q7r8s9t0u1v; escrever um artigo; escrever sobre boas práticas de programação; 2024-12-05; 3; TODO; escrita
h8i9j0k1-l2m3-4n5o-6p7q-r8s9t0u1v2w; revisar documentos; revisar contrato do cliente; 2024-11-10; 2; TODO; trabalho
i9j0k1l2-m3n4-5o6p-7q8r-s9t0u1v2w3x; aprender React; estudar componentes e hooks; 2025-01-15; 3; TODO; curso
j0k1l2m3-n4o5-6p7q-8r9s-t0u1v2w3x4y; estudar Node.js; aprender a criar APIs RESTful; 2025-02-01; 2; TODO; curso
k1l2m3n4-o5p6-7q8r-9s0t-u1v2w3x4y5z; praticar TypeScript; criar um projeto com TypeScript; 2024-12-20; 3; TODO; programação
l2m3n4o5-p6q7-8r9s-0t1u-v2w3x4y5z6a; ler documentação; ler a documentação do Docker; 2024-11-25; 5; TODO; aprendizado
m3n4o5p6-q7r8-9s0t-1u2v-w3x4y5z6a7b; estudar AWS; aprender sobre EC2 e S3; 2025-01-10; 3; TODO; curso
n4o5p6q7-r8s9-0t1u-2v3w-x4y5z6a7b8c; fazer exercícios; malhar na academia; 2024-10-30; 2; TODO; saúde
o5p6q7r8-s9t0-1u2v-3w4x-y5z6a7b8c9d; assistir a um tutorial; assistir tutorial sobre Git; 2024-11-05; 1; TODO; aprendizado
p6q7r8s9-t0u1-2v3w-4x5y-z6a7b8c9d0e; organizar e-mail; limpar a caixa de entrada; 2024-12-15; 2; TODO; organização
q7r8s9t0-u1v2-3w4x-5y6z-a7b8c9d0e1f; planejar férias; pesquisar destinos e preços; 2025-02-10; 1; TODO; planejamento
r8s9t0u1-v2w3-4x5y-6z7a-b8c9d0e1f2g; escrever relatório; escrever relatório mensal; 2024-11-20; 3; TODO; trabalho
s9t0u1v2-w3x4-5y6z-7a8b-c9d0e1f2g3h; revisar código; revisar PRs no GitHub; 2024-12-25; 2; TODO; programação
